"language","question","code","choices","correct_index","explanation","source","is_published"
"TypeScript","What operator narrows a union inside an `if`?","type Shape = { kind: ""circle""; r: number } | { kind: ""square""; s: number };
function area(x: Shape) {
  if (x.kind === ""circle"") return Math.PI * x.r * x.r;
  return x.______ * x.s;
}","{""s"",""side"",""size"",""length""}","0","After narrowing on circle, TypeScript knows x is the square variant; its field is s.","curated","true"
"TypeScript","Which utility type makes every property optional?","type User = { id: string; name: string };
type PartialUser = ________<User>;","{""Partial"",""Pick"",""Omit"",""Readonly""}","0","Partial of T maps all keys to optional.","curated","true"
"TypeScript","What keyword asserts a value type to the compiler?","const el = document.getElementById(""root"") ______ HTMLDivElement;","{""as"",""is"",""satisfies"",""instanceof""}","0","as is a type assertion (no runtime check).","curated","true"
"JavaScript","What calls a function with a given `this` and arguments as an array?","function greet(a, b) { return this.x + a + b; }
const obj = { x: 1 };
greet.______(obj, [2, 3]);","{""apply"",""call"",""bind"",""invoke""}","0","Function.prototype.apply takes (thisArg, argsArray).","curated","true"
"JavaScript","Which method returns a shallow copy of part of an array?","const a = [1, 2, 3, 4, 5];
const b = a.______(1, 3);","{""slice"",""splice"",""split"",""substring""}","0","slice is non-mutating; splice mutates the array.","curated","true"
"JavaScript","What is the value of typeof null in JavaScript?","console.log(typeof null);
// ______","{""object"",""null"",""undefined"",""boolean""}","0","Historical quirk: typeof null is the string object.","curated","true"
"Python","What method name starts a context manager?","class CM:
    def ______(self):
        return self
    def __exit__(self, *e):
        pass","{""__enter__"",""__open__"",""__with__"",""__context__""}","0","dunder enter and dunder exit implement the context manager protocol.","curated","true"
"Python","What keyword yields the next value from a generator?","def count():
    n = 0
    while True:
        ______ n
        n += 1","{""yield"",""return"",""raise"",""continue""}","0","yield pauses the generator and produces a value.","curated","true"
"Python","What decorator registers a static method?","class C:
    ______
    def id():
        return 1","{""@staticmethod"",""@classmethod"",""@property"",""@abstractmethod""}","0","staticmethod does not pass cls or self.","curated","true"
"SQL (PostgreSQL)","Which operator does case-insensitive pattern match?","SELECT * FROM users WHERE email _____ '%@GMAIL.COM';","{""ILIKE"",""LIKE"",""~"",""SIMILAR TO""}","0","ILIKE is Postgres case-insensitive LIKE.","curated","true"
